matchId,status,startDate,engine,homeClubId,homeTeamName,awayClubId,awayTeamName,homeScore,awayScore,result,winnerClubId,winnerTeamName,goalDifference,homeFormation,awayFormation,homeCaptainId,awayCaptainId,homeP1Overall,homeP2Overall,homeP3Overall,homeP4Overall,homeP5Overall,homeP6Overall,homeP7Overall,homeP8Overall,homeP9Overall,homeP10Overall,homeP11Overall,awayP1Overall,awayP2Overall,awayP3Overall,awayP4Overall,awayP5Overall,awayP6Overall,awayP7Overall,awayP8Overall,awayP9Overall,awayP10Overall,awayP11Overall,homeP1Id,homeP1DataVersion,homeP1Defense,homeP1Dribbling,homeP1Pace,homeP1Passing,homeP1Physical,homeP1Shooting,homeP1Goalkeeping,homeP1Energy,homeP1Pos1,homeP1Pos2,homeP1Pos3,homeP1Position,homeP1PositionCode,homeP2Id,homeP2DataVersion,homeP2Defense,homeP2Dribbling,homeP2Pace,homeP2Passing,homeP2Physical,homeP2Shooting,homeP2Goalkeeping,homeP2Energy,homeP2Pos1,homeP2Pos2,homeP2Pos3,homeP2Position,homeP2PositionCode,homeP3Id,homeP3DataVersion,homeP3Defense,homeP3Dribbling,homeP3Pace,homeP3Passing,homeP3Physical,homeP3Shooting,homeP3Goalkeeping,homeP3Energy,homeP3Pos1,homeP3Pos2,homeP3Pos3,homeP3Position,homeP3PositionCode,homeP4Id,homeP4DataVersion,homeP4Defense,homeP4Dribbling,homeP4Pace,homeP4Passing,homeP4Physical,homeP4Shooting,homeP4Goalkeeping,homeP4Energy,homeP4Pos1,homeP4Pos2,homeP4Pos3,homeP4Position,homeP4PositionCode,homeP5Id,homeP5DataVersion,homeP5Defense,homeP5Dribbling,homeP5Pace,homeP5Passing,homeP5Physical,homeP5Shooting,homeP5Goalkeeping,homeP5Energy,homeP5Pos1,homeP5Pos2,homeP5Pos3,homeP5Position,homeP5PositionCode,homeP6Id,homeP6DataVersion,homeP6Defense,homeP6Dribbling,homeP6Pace,homeP6Passing,homeP6Physical,homeP6Shooting,homeP6Goalkeeping,homeP6Energy,homeP6Pos1,homeP6Pos2,homeP6Pos3,homeP6Position,homeP6PositionCode,homeP7Id,homeP7DataVersion,homeP7Defense,homeP7Dribbling,homeP7Pace,homeP7Passing,homeP7Physical,homeP7Shooting,homeP7Goalkeeping,homeP7Energy,homeP7Pos1,homeP7Pos2,homeP7Pos3,homeP7Position,homeP7PositionCode,homeP8Id,homeP8DataVersion,homeP8Defense,homeP8Dribbling,homeP8Pace,homeP8Passing,homeP8Physical,homeP8Shooting,homeP8Goalkeeping,homeP8Energy,homeP8Pos1,homeP8Pos2,homeP8Pos3,homeP8Position,homeP8PositionCode,homeP9Id,homeP9DataVersion,homeP9Defense,homeP9Dribbling,homeP9Pace,homeP9Passing,homeP9Physical,homeP9Shooting,homeP9Goalkeeping,homeP9Energy,homeP9Pos1,homeP9Pos2,homeP9Pos3,homeP9Position,homeP9PositionCode,homeP10Id,homeP10DataVersion,homeP10Defense,homeP10Dribbling,homeP10Pace,homeP10Passing,homeP10Physical,homeP10Shooting,homeP10Goalkeeping,homeP10Energy,homeP10Pos1,homeP10Pos2,homeP10Pos3,homeP10Position,homeP10PositionCode,homeP11Id,homeP11DataVersion,homeP11Defense,homeP11Dribbling,homeP11Pace,homeP11Passing,homeP11Physical,homeP11Shooting,homeP11Goalkeeping,homeP11Energy,homeP11Pos1,homeP11Pos2,homeP11Pos3,homeP11Position,homeP11PositionCode,awayP1Id,awayP1DataVersion,awayP1Defense,awayP1Dribbling,awayP1Pace,awayP1Passing,awayP1Physical,awayP1Shooting,awayP1Goalkeeping,awayP1Energy,awayP1Pos1,awayP1Pos2,awayP1Pos3,awayP1Position,awayP1PositionCode,awayP2Id,awayP2DataVersion,awayP2Defense,awayP2Dribbling,awayP2Pace,awayP2Passing,awayP2Physical,awayP2Shooting,awayP2Goalkeeping,awayP2Energy,awayP2Pos1,awayP2Pos2,awayP2Pos3,awayP2Position,awayP2PositionCode,awayP3Id,awayP3DataVersion,awayP3Defense,awayP3Dribbling,awayP3Pace,awayP3Passing,awayP3Physical,awayP3Shooting,awayP3Goalkeeping,awayP3Energy,awayP3Pos1,awayP3Pos2,awayP3Pos3,awayP3Position,awayP3PositionCode,awayP4Id,awayP4DataVersion,awayP4Defense,awayP4Dribbling,awayP4Pace,awayP4Passing,awayP4Physical,awayP4Shooting,awayP4Goalkeeping,awayP4Energy,awayP4Pos1,awayP4Pos2,awayP4Pos3,awayP4Position,awayP4PositionCode,awayP5Id,awayP5DataVersion,awayP5Defense,awayP5Dribbling,awayP5Pace,awayP5Passing,awayP5Physical,awayP5Shooting,awayP5Goalkeeping,awayP5Energy,awayP5Pos1,awayP5Pos2,awayP5Pos3,awayP5Position,awayP5PositionCode,awayP6Id,awayP6DataVersion,awayP6Defense,awayP6Dribbling,awayP6Pace,awayP6Passing,awayP6Physical,awayP6Shooting,awayP6Goalkeeping,awayP6Energy,awayP6Pos1,awayP6Pos2,awayP6Pos3,awayP6Position,awayP6PositionCode,awayP7Id,awayP7DataVersion,awayP7Defense,awayP7Dribbling,awayP7Pace,awayP7Passing,awayP7Physical,awayP7Shooting,awayP7Goalkeeping,awayP7Energy,awayP7Pos1,awayP7Pos2,awayP7Pos3,awayP7Position,awayP7PositionCode,awayP8Id,awayP8DataVersion,awayP8Defense,awayP8Dribbling,awayP8Pace,awayP8Passing,awayP8Physical,awayP8Shooting,awayP8Goalkeeping,awayP8Energy,awayP8Pos1,awayP8Pos2,awayP8Pos3,awayP8Position,awayP8PositionCode,awayP9Id,awayP9DataVersion,awayP9Defense,awayP9Dribbling,awayP9Pace,awayP9Passing,awayP9Physical,awayP9Shooting,awayP9Goalkeeping,awayP9Energy,awayP9Pos1,awayP9Pos2,awayP9Pos3,awayP9Position,awayP9PositionCode,awayP10Id,awayP10DataVersion,awayP10Defense,awayP10Dribbling,awayP10Pace,awayP10Passing,awayP10Physical,awayP10Shooting,awayP10Goalkeeping,awayP10Energy,awayP10Pos1,awayP10Pos2,awayP10Pos3,awayP10Position,awayP10PositionCode,awayP11Id,awayP11DataVersion,awayP11Defense,awayP11Dribbling,awayP11Pace,awayP11Passing,awayP11Physical,awayP11Shooting,awayP11Goalkeeping,awayP11Energy,awayP11Pos1,awayP11Pos2,awayP11Pos3,awayP11Position,awayP11PositionCode
1690971,ENDED,2026-01-14T20:04:00.000Z,14.0.3/8.1.1,2118,Caen Meta Dragons,5516,Hoofddorp Polder Warriors MFC,0,3,AWAY_WIN,5516,Hoofddorp Polder Warriors MFC,3,3-5-2_B,4-2-2-2,28404,156323,68,68,68,68,68,68,69,68,68,68,68,74,74,76,75,74,75,75,77,74,74,74,28404,1,0,0,0,0,0,0,68,10000,GK,,,GK,1,45236,1,69,72,67,39,68,30,0,10000,CB,,,CB,12,36186,1,67,58,54,54,81,31,0,10000,CB,CDM,,CB,3,88475,1,75,42,59,31,66,40,0,10000,CB,,,CB,13,62804,1,68,67,63,64,74,45,0,10000,CDM,CM,,CDM,6,74352,1,65,67,65,67,76,61,0,10000,CDM,CAM,,CDM,14,33331,1,52,79,71,66,56,73,0,10000,RM,CAM,,RM,8,25669,1,28,70,66,69,60,62,0,10000,CAM,,,CAM,20,191344,1,33,68,65,74,58,77,0,10000,LM,RM,,LM,23,68385,1,39,59,77,63,74,72,0,10000,ST,CF,,ST,9,82430,1,32,63,87,56,65,70,0,10000,ST,CAM,LM,ST,11,49114,1,0,0,0,0,0,0,74,10000,GK,,,GK,1,156323,1,76,68,72,79,64,29,0,10000,RB,RM,,RB,2,12222,1,80,52,59,58,80,38,0,10000,CB,,,CB,3,66261,1,78,53,60,53,81,23,0,10000,CB,,,CB,4,32416,1,78,76,89,54,71,48,0,10000,LB,LWB,,LB,5,60054,1,45,79,78,71,65,71,0,10000,CAM,LW,,CAM,8,33945,1,77,68,55,73,79,47,0,10000,CDM,CM,,CDM,6,42175,1,81,66,79,76,81,67,0,10000,CDM,CM,,CDM,13,53550,1,56,78,80,78,48,56,0,10000,CAM,,,CAM,10,15566,1,36,76,81,53,58,77,0,10000,ST,LM,,ST,9,189706,1,25,74,75,53,62,79,0,10000,ST,,,ST,14
1691022,ENDED,2026-01-14T20:04:00.000Z,14.0.3/8.1.1,2623,YAMOUSSOUKRO FC,4740,Los Angeles City,4,1,HOME_WIN,2623,YAMOUSSOUKRO FC,3,4-2-3-1,4-3-3_attack,6673,92534,72,73,71,70,72,68,77,76,74,75,73,69,68,71,70,69,71,69,68,68,72,67,44878,1,0,0,0,0,0,0,72,10000,GK,,,GK,1,11515,1,76,76,75,64,65,52,0,10000,RB,,,RB,2,79381,1,75,58,60,59,68,22,0,10000,CB,,,CB,3,17174,1,72,57,58,49,76,27,0,10000,CB,,,CB,4,53221,1,78,67,82,60,65,40,0,10000,LB,LM,LWB,LB,5,6673,1,75,78,72,58,64,73,0,10000,CM,CDM,,CDM,6,47986,1,46,79,66,79,50,75,0,10000,CAM,,,CAM,8,59481,1,83,72,65,68,79,57,0,10000,CDM,CM,,CDM,13,80851,1,33,79,70,75,60,66,0,10000,RW,RM,,RM,7,26262,1,35,81,67,58,78,76,0,10000,ST,LW,,ST,9,66741,1,68,78,81,73,56,76,0,10000,LM,LWB,,LM,11,116694,1,0,0,0,0,0,0,69,10000,GK,,,GK,1,54457,1,70,77,60,57,76,45,0,10000,RB,LM,,RB,2,106816,1,74,64,67,37,73,25,0,10000,CB,CM,,CB,3,47063,1,71,56,66,38,82,33,0,10000,CB,,,CB,4,180436,1,67,76,74,64,75,36,0,10000,LWB,LB,,LB,5,185636,1,58,70,62,79,69,60,0,10000,CM,CDM,,CM,8,92534,1,51,75,68,61,63,72,0,10000,CAM,CDM,,CAM,10,206797,1,64,75,58,68,51,59,0,10000,CM,CAM,,CM,6,34395,1,40,77,73,74,63,50,0,10000,LM,RW,,RW,7,88139,1,42,67,80,68,55,77,0,10000,ST,,,ST,9,114215,1,32,78,70,48,46,66,0,10000,RW,RM,LW,LW,11
1691062,ENDED,2026-01-14T20:04:00.000Z,14.0.3/8.1.1,750,Serg Academy - Colombia,5298,Amethyst Peacocks MFC,1,2,AWAY_WIN,5298,Amethyst Peacocks MFC,1,4-1-2-1-2,4-3-3_defend,,120024,67,64,64,68,69,66,68,66,66,69,67,70,70,72,74,69,72,69,71,73,71,70,9701,1,0,0,0,0,0,0,67,10000,GK,,,GK,1,126951,1,67,59,64,43,62,52,0,10000,CB,RB,,RB,2,61710,1,62,42,61,38,85,33,0,10000,CB,RB,,CB,3,43639,1,74,47,36,54,66,47,0,10000,CB,,,CB,4,106311,1,72,60,73,68,72,45,0,10000,LB,CB,LM,LB,5,237651,1,52,75,73,68,56,50,0,10000,RM,,,RM,7,12349,1,72,53,63,67,79,60,0,10000,CDM,,,CDM,6,199857,1,63,70,72,71,57,48,0,10000,LM,,,LM,11,288792,1,30,66,65,58,63,69,0,10000,ST,,,ST,9,127790,1,28,77,59,70,69,55,0,10000,CAM,,,CAM,8,167105,1,41,64,58,66,72,70,0,10000,ST,,,ST,10,227908,1,0,0,0,0,0,0,70,10000,GK,,,GK,1,36701,1,76,56,57,66,75,54,0,10000,CDM,LB,RB,RB,2,49815,1,78,68,71,61,57,41,0,10000,CB,,,CB,3,50459,1,77,64,73,72,78,46,0,10000,CDM,CM,CB,CB,4,73147,1,74,64,70,71,55,37,0,10000,LB,LWB,,LB,5,65279,1,66,76,80,73,62,70,0,10000,CM,,,CM,8,233373,1,70,63,44,72,70,54,0,10000,CDM,CM,,CDM,6,153373,1,63,73,53,75,57,63,0,10000,CM,,,CM,13,22982,1,41,81,82,63,74,63,0,10000,RW,LW,,RW,7,120024,1,59,69,81,75,63,78,0,10000,LM,ST,,ST,9,292102,1,55,73,63,76,44,64,0,10000,LM,LW,,LW,11
1691103,ENDED,2026-01-14T20:04:00.000Z,14.0.3/8.1.1,1334,Telford Wanderers,1549,Athens Gods,0,0,DRAW,,,0,4-4-2,5-4-1,177959,23395,72,71,73,74,74,69,70,70,72,75,74,70,69,70,74,74,76,68,70,67,73,70,77601,1,0,0,0,0,0,0,72,10000,GK,,,GK,1,191963,1,68,73,77,78,58,34,0,10000,RB,LB,RWB,RB,2,57431,1,76,66,44,48,75,30,0,10000,CB,,,CB,3,13505,1,74,72,70,64,76,42,0,10000,CB,CDM,,CB,4,153801,1,84,59,77,61,81,69,0,10000,LB,,,LB,5,177959,1,57,74,71,72,56,66,0,10000,RM,LM,CAM,RM,7,38575,1,60,71,74,73,66,64,0,10000,CM,CAM,,CM,8,215122,1,52,66,45,81,58,62,0,10000,CM,CDM,LM,CM,6,80247,1,54,71,85,83,56,55,0,10000,LM,ST,,LM,11,61073,1,51,72,81,55,72,81,0,10000,ST,,,ST,9,73230,1,49,69,81,44,52,84,0,10000,ST,,,ST,10,22653,1,0,0,0,0,0,0,70,10000,GK,,,GK,1,13023,1,69,69,81,61,70,58,0,10000,RWB,RB,,RWB,2,106436,1,76,37,55,46,72,37,0,10000,CB,,,CB,3,12125,1,77,54,66,59,78,36,0,10000,CB,,,CB,4,12433,1,85,29,43,49,68,25,0,10000,CB,LB,,CB,13,23395,1,79,79,86,65,65,57,0,10000,LWB,LB,,LWB,5,55707,1,27,77,73,75,53,61,0,10000,RM,,,RM,7,16330,1,69,63,67,75,69,51,0,10000,CDM,CM,,CDM,6,208197,1,35,69,65,78,59,55,0,10000,LM,ST,,LM,11,19709,1,65,69,78,79,63,68,0,10000,CAM,CM,,CAM,8,19116,1,26,74,70,46,69,72,0,10000,ST,LW,,ST,9
1691150,ENDED,2026-01-14T20:04:00.000Z,14.0.3/8.1.1,5083,Wuxi Red Phoenix MFC,5411,Cegléd MFC,2,1,HOME_WIN,5083,Wuxi Red Phoenix MFC,1,3-5-2_B,4-2-3-1,45595,115319,76,76,71,71,74,74,73,74,73,74,71,72,70,77,72,72,71,71,73,69,70,71,63407,1,0,0,0,0,0,0,76,10000,GK,,,GK,1,80113,1,84,40,60,39,75,31,0,10000,CB,,,CB,3,61170,1,76,61,71,46,68,25,0,10000,CB,LB,CDM,CB,4,161614,1,77,42,72,47,72,20,0,10000,CB,LB,,CB,13,29441,1,72,71,70,77,78,77,0,10000,CDM,CM,,CDM,6,236000,1,69,68,47,83,74,26,0,10000,CDM,CM,,CDM,14,220300,1,68,71,71,79,67,64,0,10000,RM,LM,,RM,7,100966,1,29,81,75,74,55,59,0,10000,CAM,CM,CF,CAM,8,143838,1,67,78,65,78,60,57,0,10000,LM,RM,,LM,11,45595,1,36,67,75,71,68,79,0,10000,ST,,,ST,9,51423,1,42,79,73,73,69,70,0,10000,LM,LB,ST,ST,10,178270,1,0,0,0,0,0,0,72,10000,GK,,,GK,1,104253,1,72,59,73,71,73,34,0,10000,RB,RWB,,RB,2,171716,1,85,55,65,80,74,59,0,10000,CDM,CM,CB,CB,3,36965,1,73,52,65,65,78,38,0,10000,CB,,,CB,4,105427,1,69,67,80,75,75,47,0,10000,LWB,LB,,LB,5,58449,1,72,73,79,70,65,42,0,10000,CDM,CM,CB,CDM,6,75788,1,33,70,68,75,62,65,0,10000,CAM,CF,,CAM,8,158250,1,76,60,66,75,73,34,0,10000,CDM,CB,,CDM,13,72420,1,39,69,65,76,68,73,0,10000,RM,ST,,RM,7,115319,1,33,56,80,60,67,80,0,10000,ST,,,ST,9,23434,1,52,71,79,76,68,71,0,10000,LM,CAM,,LM,11
1691188,ENDED,2026-01-14T20:04:00.000Z,14.0.3/8.1.1,5866,Callumbus Crew,5863,Chiba MFC ,0,2,AWAY_WIN,5863,Chiba MFC ,2,4-2-3-1,3-5-2,157767,203872,74,63,71,72,68,63,75,70,73,74,70,71,70,70,71,69,69,72,70,70,70,72,149300,1,0,0,0,0,0,0,74,10000,GK,,,GK,1,51393,1,52,73,77,60,57,58,0,10000,RM,CF,RWB,RB,2,75940,1,72,58,60,67,78,30,0,10000,CB,LB,,CB,3,77086,1,74,58,63,52,78,34,0,10000,CB,,,CB,4,193131,1,66,74,78,62,70,56,0,10000,LB,,,LB,5,121005,1,72,57,49,49,72,48,0,10000,CDM,,,CDM,6,157767,1,44,75,67,79,52,71,0,10000,CAM,CM,RM,CAM,8,170242,1,76,75,65,59,70,49,0,10000,CDM,,,CDM,13,177454,1,58,77,62,78,75,58,0,10000,RM,LM,,RM,7,150991,1,32,72,70,64,70,78,0,10000,ST,RM,,ST,9,151821,1,59,72,72,70,65,74,0,10000,LM,ST,,LM,11,189034,1,0,0,0,0,0,0,71,10000,GK,,,GK,1,177905,1,73,61,71,49,71,40,0,10000,CB,RB,,CB,3,40852,1,73,55,76,49,73,50,0,10000,CB,,,CB,4,90838,1,74,47,67,51,80,43,0,10000,CB,RB,,CB,13,92647,1,46,76,76,71,61,65,0,10000,RM,,,RM,7,3107,1,69,74,75,74,81,52,0,10000,CAM,CM,LM,CM,8,107331,1,80,55,46,68,77,55,0,10000,CDM,CM,,CDM,6,52145,1,64,73,62,69,75,66,0,10000,CM,CDM,,CM,14,66469,1,51,67,72,77,66,69,0,10000,LM,,,LM,11,203872,1,41,57,78,50,62,82,0,10000,ST,CAM,,ST,9,52140,1,51,74,69,53,71,75,0,10000,ST,,,ST,10
1691230,ENDED,2026-01-15T20:04:00.000Z,14.0.3/8.1.1,5298,Amethyst Peacocks MFC,2118,Caen Meta Dragons,1,1,DRAW,,,0,4-3-3_defend,3-5-2_B,26912,239938,71,71,67,74,69,73,69,72,71,71,73,68,68,68,68,69,68,70,69,69,69,69,26912,1,0,0,0,0,0,0,71,10000,GK,,,GK,1,150609,1,73,79,72,59,69,49,0,10000,RB,,,RB,2,71710,1,70,55,71,52,66,26,0,10000,CB,,,CB,3,50459,1,77,64,73,72,78,46,0,9872,CDM,CM,CB,CB,4,73147,1,74,64,70,71,55,38,0,9829,LB,LWB,,LB,5,65279,1,66,76,80,74,62,70,0,9842,CM,,,CM,8,233373,1,70,63,45,72,70,54,0,9857,CDM,CM,,CDM,6,16840,1,67,77,78,67,72,80,0,10000,CM,,,CM,13,100182,1,45,72,81,70,48,68,0,10000,CAM,RW,,RW,7,79816,1,49,73,78,67,48,71,0,10000,CAM,ST,CM,ST,9,22982,1,41,81,82,63,74,63,0,9848,RW,LW,,LW,11,239938,1,0,0,0,0,0,0,68,10000,GK,,,GK,16,152587,1,72,30,52,65,73,35,0,10000,CB,CDM,,CB,2,232152,1,71,64,67,50,67,53,0,10000,CB,,,CB,5,145778,1,70,47,51,44,80,45,0,10000,CB,,,CB,22,20647,1,73,61,66,66,71,52,0,10000,CDM,CM,RB,CDM,18,128497,1,70,67,69,63,70,52,0,10000,CDM,CM,CB,CDM,4,50793,1,41,74,68,72,72,76,0,10000,RM,,,RM,17,197306,1,31,66,72,67,52,75,0,10000,CAM,CM,,CAM,10,37927,1,54,76,73,74,60,48,0,10000,LM,RM,RW,LM,7,1204,1,31,79,69,58,63,65,0,10000,ST,RW,,ST,21,75407,1,44,74,73,51,62,70,0,10000,ST,,,ST,19
1691275,ENDED,2026-01-15T20:04:00.000Z,14.0.3/8.1.1,1334,Telford Wanderers,2623,YAMOUSSOUKRO FC,1,0,HOME_WIN,1334,Telford Wanderers,1,4-4-2,4-2-3-1,177959,6673,72,71,73,74,74,69,70,70,72,75,74,72,73,71,70,72,68,77,76,74,75,73,77601,1,0,0,0,0,0,0,72,9922,GK,,,GK,1,191963,1,68,73,77,78,58,34,0,9835,RB,LB,RWB,RB,2,57431,1,76,66,44,48,75,30,0,9866,CB,,,CB,3,13505,1,74,72,70,64,76,42,0,9868,CB,CDM,,CB,4,153801,1,84,59,77,61,81,69,0,9877,LB,,,LB,5,177959,1,57,74,71,72,56,66,0,9831,RM,LM,CAM,RM,7,38575,1,60,71,74,73,66,64,0,9850,CM,CAM,,CM,8,215122,1,52,66,45,81,58,62,0,9835,CM,CDM,LM,CM,6,80247,1,54,71,85,83,56,55,0,9831,LM,ST,,LM,11,61073,1,51,72,81,55,72,81,0,9861,ST,,,ST,9,73230,1,49,69,81,44,52,84,0,9824,ST,,,ST,10,44878,1,0,0,0,0,0,0,72,9922,GK,,,GK,1,11515,1,76,76,75,64,65,52,0,9848,RB,,,RB,2,79381,1,75,58,60,59,68,22,0,9835,CB,,,CB,3,17174,1,72,57,58,49,76,27,0,9868,CB,,,CB,4,53221,1,78,67,82,60,65,40,0,9848,LB,LM,LWB,LB,5,6673,1,75,78,72,58,64,73,0,9846,CM,CDM,,CDM,6,47986,1,46,79,66,79,50,75,0,9760,CAM,,,CAM,8,59481,1,83,72,65,68,80,57,0,9873,CDM,CM,,CDM,13,80851,1,33,79,70,75,60,66,0,9839,RW,RM,,RM,7,26262,1,35,81,67,58,78,76,0,9851,ST,LW,,ST,9,66741,1,68,78,81,73,56,76,0,9831,LM,LWB,,LM,11
1691316,ENDED,2026-01-15T20:04:00.000Z,14.0.3/8.1.1,5516,Hoofddorp Polder Warriors MFC,5411,Cegléd MFC,0,1,AWAY_WIN,5411,Cegléd MFC,1,4-2-2-2,4-2-2-2,156323,178270,74,74,76,75,74,75,75,77,74,74,74,72,69,72,77,72,71,71,73,71,65,70,49114,1,0,0,0,0,0,0,74,9923,GK,,,GK,1,156323,1,76,68,72,79,64,29,0,9846,RB,RM,,RB,2,12222,1,80,52,59,58,80,38,0,9875,CB,,,CB,3,66261,1,78,53,60,53,81,24,0,9877,CB,,,CB,4,32416,1,78,76,89,54,71,48,0,9859,LB,LWB,,LB,5,60054,1,45,79,78,71,65,71,0,9808,CAM,LW,,CAM,8,33945,1,77,68,55,73,79,47,0,9873,CDM,CM,,CDM,6,42175,1,81,66,79,76,81,67,0,9877,CDM,CM,,CDM,13,53550,1,56,78,80,78,48,56,0,9817,CAM,,,CAM,10,15566,1,36,76,81,53,58,77,0,9818,ST,LM,,ST,9,189706,1,25,74,75,53,62,79,0,9842,ST,,,ST,14,178270,1,0,0,0,0,0,0,72,9922,GK,,,GK,1,1908,1,70,75,76,54,73,42,0,10000,RB,LB,,RB,2,36965,1,73,52,65,65,78,38,0,9872,CB,,,CB,3,171716,1,85,56,65,80,75,59,0,9864,CDM,CM,CB,CB,4,105427,1,69,67,80,75,75,47,0,9866,LWB,LB,,LB,5,208595,1,49,74,60,77,69,61,0,10000,CM,CAM,,CAM,8,58449,1,72,73,79,70,65,42,0,9848,CDM,CM,CB,CDM,6,158250,1,76,60,66,75,73,34,0,9862,CDM,CB,,CDM,13,75788,1,33,70,68,75,62,65,0,9842,CAM,CF,,CAM,10,4661,1,53,59,89,51,65,67,0,10000,ST,,,ST,9,115319,1,33,56,80,60,67,80,0,9851,ST,,,ST,14
1691355,ENDED,2026-01-15T20:04:00.000Z,14.0.3/8.1.1,5866,Callumbus Crew,4740,Los Angeles City,1,0,HOME_WIN,5866,Callumbus Crew,1,4-2-3-1,4-3-3_attack,157767,92534,74,69,74,72,68,69,75,70,73,74,70,69,68,71,70,70,71,69,68,68,72,67,149300,1,0,0,0,0,0,0,74,9923,GK,,,GK,1,54750,1,74,64,73,66,57,29,0,10000,RB,RM,,RB,2,12500,1,79,56,45,47,74,24,0,10000,CB,,,CB,3,77086,1,74,58,63,52,78,34,0,9872,CB,,,CB,4,193131,1,66,74,78,62,71,56,0,9857,LB,,,LB,5,214187,1,72,67,57,77,47,39,0,10000,CDM,CM,,CDM,6,157767,1,44,75,67,80,52,71,0,9824,CAM,CM,RM,CAM,8,170242,1,76,75,65,59,70,49,0,9827,CDM,,,CDM,13,177454,1,58,77,62,78,75,58,0,9866,RM,LM,,RM,7,150991,1,32,72,70,64,70,78,0,9857,ST,RM,,ST,9,151821,1,59,72,72,70,65,74,0,9848,LM,ST,,LM,11,116694,1,0,0,0,0,0,0,69,9920,GK,,,GK,1,54457,1,70,77,60,57,76,45,0,9868,RB,LM,,RB,2,106816,1,74,64,67,37,73,25,0,9826,CB,CM,,CB,3,47063,1,71,56,66,38,82,33,0,9879,CB,,,CB,4,180436,1,67,76,74,64,76,36,0,9866,LWB,LB,,LB,5,185636,1,58,70,64,79,69,60,0,9855,CM,CDM,,CM,8,92534,1,51,75,68,61,63,72,0,9844,CAM,CDM,,CAM,10,206797,1,65,75,58,68,51,59,0,9822,CM,CAM,,CM,6,34395,1,41,77,73,74,63,50,0,9844,LM,RW,,RW,7,88139,1,42,67,80,68,55,77,0,9686,ST,,,ST,9,114215,1,32,78,70,48,46,66,0,9813,RW,RM,LW,LW,11
