clubStanding,clubId,clubName,wins,draws,losses,points,goals,goalsAgainst,matchIds
1,4294,Tsuen Wan Runners,17,1,2,52,89,29,"[1700573, 1700929, 1701202, 1701397, 1701739, 1701898, 1702076, 1702285, 1702536, 1702776, 1702839, 1703161, 1703307, 1703402, 1703699, 1703920, 1704223, 1704452, 1704694, 1704726]"
2,3361,18HVR84,16,2,2,50,42,19,"[1700612, 1700892, 1701116, 1701151, 1701708, 1701851, 1702179, 1702327, 1702577, 1702776, 1702876, 1703161, 1703268, 1703372, 1703732, 1703953, 1704147, 1704413, 1704660, 1704753]"
3,6293,D10 Dark Destroyers,11,4,5,37,45,28,"[1700655, 1700854, 1701116, 1701202, 1701360, 1701591, 1701816, 1702212, 1702366, 1702738, 1702918, 1703111, 1703235, 1703402, 1703770, 1704147, 1704185, 1704366, 1704622, 1704795]"
4,4001,Jade Peacocks MFC,9,4,7,31,38,29,"[1700655, 1700892, 1701049, 1701239, 1701477, 1701776, 1701971, 1702007, 1702285, 1702457, 1702839, 1703342, 1703453, 1703561, 1703847, 1704067, 1704297, 1704514, 1704660, 1704795]"
5,3822,Étoile de Bel Abbès,9,4,7,31,39,36,"[1700612, 1700929, 1701085, 1701435, 1701776, 1701931, 1702042, 1702249, 1702493, 1702738, 1702800, 1703111, 1703342, 1703620, 1703883, 1704106, 1704257, 1704485, 1704694, 1704753]"
6,6778,Swansea Bay FC,6,7,7,25,22,32,"[1700699, 1700813, 1701085, 1701239, 1701397, 1701556, 1701816, 1702399, 1702577, 1702699, 1702957, 1703074, 1703202, 1703453, 1703953, 1704106, 1704223, 1704366, 1704585, 1704830]"
7,1593,ROYALIVI ROVERS,6,1,13,19,19,39,"[1700734, 1700775, 1701049, 1701278, 1701435, 1701851, 1702212, 1702399, 1702536, 1702664, 1702957, 1703031, 1703486, 1703770, 1703920, 1704067, 1704257, 1704413, 1704550, 1704854]"
8,4746,Colombes Peace Corps,5,3,12,18,24,42,"[1700573, 1700775, 1700967, 1701151, 1701360, 1701556, 1702007, 1702249, 1702427, 1702613, 1702800, 1702994, 1703202, 1703372, 1703561, 1703809, 1703988, 1704185, 1704550, 1704726]"
9,7183,Mamba Academy - Germany,5,3,12,18,18,39,"[1700854, 1701007, 1701278, 1701515, 1701739, 1701971, 1702042, 1702327, 1702427, 1702699, 1702876, 1703074, 1703307, 1703486, 1703620, 1703809, 1704023, 1704329, 1704514, 1704622]"
10,62,Mexico City Eagles,3,6,11,15,19,36,"[1700699, 1700967, 1701317, 1701515, 1701708, 1701931, 1702076, 1702366, 1702457, 1702664, 1702918, 1703031, 1703268, 1703525, 1703699, 1703847, 1703988, 1704329, 1704485, 1704830]"
11,3538,Malmö MFL,4,3,13,15,24,50,"[1700734, 1700813, 1701007, 1701317, 1701477, 1701591, 1701898, 1702179, 1702493, 1702613, 1702994, 1703235, 1703525, 1703732, 1703883, 1704023, 1704297, 1704452, 1704585, 1704854]"
